  year          age           Dx_female         Dx_male        Dx_total
  2019           0              9248.30        11675.82        20924.12
  2019           1               651.02          824.06         1475.08
  2019           2               399.02          515.04          914.06
  2019           3               320.01          390.02          710.03
  2019           4               265.00          311.02          576.02
  2019           5               245.00          291.02          536.02
  2019           6               224.00          266.02          490.02
  2019           7               196.00          243.02          439.02
  2019           8               184.00          251.02          435.02
  2019           9               194.00          239.02          433.02
  2019          10               189.00          291.02          480.02
  2019          11               212.00          323.02          535.02
  2019          12               250.00          352.02          602.02
  2019          13               293.00          394.02          687.02
  2019          14               324.01          536.04          860.05
  2019          15               383.02          754.06         1137.08
  2019          16               445.02         1042.07         1487.09
  2019          17               533.02         1351.10         1884.12
  2019          18               760.02         1972.14         2732.16
  2019          19               776.02         2242.16         3018.18
  2019          20               861.02         2452.18         3313.20
  2019          21               949.03         2872.20         3821.23
  2019          22               975.03         2908.20         3883.23
  2019          23              1166.04         2980.21         4146.25
  2019          24              1175.04         3174.22         4349.26
  2019          25              1272.04         3482.24         4754.28
  2019          26              1390.04         3696.25         5086.29
  2019          27              1518.04         3865.27         5383.31
  2019          28              1628.06         4130.29         5758.35
  2019          29              1721.06         4272.30         5993.36
  2019          30              1881.06         4303.30         6184.36
  2019          31              1942.06         4279.29         6221.35
  2019          32              1993.06         4270.30         6263.36
  2019          33              2274.08         4407.31         6681.39
  2019          34              2203.07         4649.32         6852.39
  2019          35              2332.08         4671.33         7003.41
  2019          36              2471.08         4854.34         7325.42
  2019          37              2628.08         5067.35         7695.43
  2019          38              2896.10         5277.37         8173.47
  2019          39              3075.10         5370.38         8445.48
  2019          40              3012.10         5631.39         8643.49
  2019          41              3070.10         5382.38         8452.48
  2019          42              3135.10         5656.39         8791.49
  2019          43              3370.11         5563.38         8933.49
  2019          44              3567.12         5968.42         9535.54
  2019          45              3859.12         6306.44        10165.56
  2019          46              4263.13         6938.48        11201.61
  2019          47              4783.15         7795.54        12578.69
  2019          48              5542.18         8841.62        14383.80
  2019          49              5934.19         9471.66        15405.85
  2019          50              6214.20         9945.70        16159.90
  2019          51              6546.21        10656.74        17202.95
  2019          52              7179.23        11597.81        18777.04
  2019          53              8041.25        12559.88        20601.13
  2019          54              9186.29        14735.03        23921.32
  2019          55             10260.33        16541.15        26801.48
  2019          56             11174.35        17794.24        28968.59
  2019          57             12315.39        19346.36        31661.75
  2019          58             13438.43        20905.46        34343.89
  2019          59             14206.45        22476.57        36683.02
  2019          60             15397.49        23302.63        38700.12
  2019          61             16341.52        25183.76        41525.28
  2019          62             17320.55        26657.86        43978.41
  2019          63             17838.57        27527.92        45366.49
  2019          64             18723.60        28207.97        46931.57
  2019          65             19042.61        29120.04        48162.65
  2019          66             19802.63        29758.08        49560.71
  2019          67             20476.65        30248.11        50724.76
  2019          68             21519.68        30694.14        52213.82
  2019          69             22637.72        31131.17        53768.89
  2019          70             24417.78        32928.80        57346.58
  2019          71             26602.85        34785.93        61388.78
  2019          72             29434.93        37707.63        67142.56
  2019          73             25283.80        31567.20        56851.00
  2019          74             26104.83        32326.26        58431.09
  2019          75             28566.91        34578.41        63145.32
  2019          76             31600.01        37423.62        69023.63
  2019          77             30499.97        35404.47        65904.44
  2019          78             30612.98        34511.41        65124.39
  2019          79             31718.01        34587.42        66305.43
  2019          80             33087.06        35272.46        68359.52
  2019          81             34652.10        35973.52        70625.62
  2019          82             35705.14        35424.47        71129.61
  2019          83             37705.20        35823.51        73528.71
  2019          84             38784.23        36121.53        74905.76
  2019          85             38619.24        34601.41        73220.65
  2019          86             40700.30        34590.42        75290.72
  2019          87             42218.34        34715.43        76933.77
  2019          88             43075.37        33817.36        76892.73
  2019          89             44434.42        32171.25        76605.67
  2019          90             43298.38        29493.06        72791.44
  2019          91             42564.36        27306.91        69871.27
  2019          92             40616.29        24255.70        64871.99
  2019          93             37325.19        20789.45        58114.64
  2019          94             34401.10        17435.22        51836.32
  2019          95             29730.95        14155.98        43886.93
  2019          96             25132.80        10903.76        36036.56
  2019          97             20719.66         8259.58        28979.24
  2019          98             16218.51         5975.41        22193.92
  2019          99             11767.37         3766.26        15533.63
  2019         100              8353.27         2416.17        10769.44
  2019         101              6031.19         1513.11         7544.30
  2019         102              4047.13          882.06         4929.19
  2019         103              2534.08          536.04         3070.12
  2019         104              1665.05          279.02         1944.07
  2019         105               956.03          169.01         1125.04
  2019         106               559.02           77.00          636.02
  2019         107               290.01           43.00          333.01
  2019         108               182.01           25.00          207.01
  2019         109                75.01            6.00           81.01
  2019         110+               82.00            9.00           91.00
