  year          age           Dx_female         Dx_male        Dx_total
  1960           0               252.08          376.00          628.08
  1960           1                25.01           29.00           54.01
  1960           2                10.00           19.00           29.00
  1960           3                 7.01           15.00           22.01
  1960           4                 8.00           12.00           20.00
  1960           5                 8.00            7.00           15.00
  1960           6                 6.00            9.00           15.00
  1960           7                 3.00            8.00           11.00
  1960           8                 8.00            8.00           16.00
  1960           9                 8.00           12.00           20.00
  1960          10                 5.00            4.00            9.00
  1960          11                 4.00            4.00            8.00
  1960          12                 4.00            6.00           10.00
  1960          13                 3.00            7.00           10.00
  1960          14                 3.00            6.00            9.00
  1960          15                 5.00            8.00           13.00
  1960          16                 5.00            8.00           13.00
  1960          17                 5.00            7.00           12.00
  1960          18                 8.00           17.00           25.00
  1960          19                 4.00           28.00           32.00
  1960          20                 4.00           17.00           21.00
  1960          21                 9.00           26.00           35.00
  1960          22                 7.00           32.00           39.00
  1960          23                10.00           35.00           45.00
  1960          24                 4.00           26.00           30.00
  1960          25                24.01           26.00           50.01
  1960          26                10.00           27.00           37.00
  1960          27                 8.00           31.00           39.00
  1960          28                 8.00           37.00           45.00
  1960          29                 9.01           24.00           33.01
  1960          30                11.01           38.00           49.01
  1960          31                18.00           35.00           53.00
  1960          32                14.00           54.00           68.00
  1960          33                14.00           37.00           51.00
  1960          34                22.01           25.00           47.01
  1960          35                18.01           25.00           43.01
  1960          36                15.00           28.00           43.00
  1960          37                11.00           37.00           48.00
  1960          38                27.01           28.00           55.01
  1960          39                19.00           31.00           50.00
  1960          40                10.00           18.00           28.00
  1960          41                17.01           29.00           46.01
  1960          42                10.00           28.00           38.00
  1960          43                14.00           26.00           40.00
  1960          44                22.01           31.00           53.01
  1960          45                22.01           45.00           67.01
  1960          46                35.01           33.00           68.01
  1960          47                26.01           41.00           67.01
  1960          48                42.01           46.00           88.01
  1960          49                41.01           56.00           97.01
  1960          50                34.01           60.00           94.01
  1960          51                42.01           68.00          110.01
  1960          52                40.02           78.00          118.02
  1960          53                49.01           71.00          120.01
  1960          54                42.01           71.00          113.01
  1960          55                53.02           74.00          127.02
  1960          56                69.02           75.00          144.02
  1960          57                59.01           89.00          148.01
  1960          58                59.01          101.00          160.01
  1960          59                74.02          101.00          175.02
  1960          60                89.03          103.00          192.03
  1960          61                90.03          106.00          196.03
  1960          62               107.03          124.00          231.03
  1960          63                99.03          116.00          215.03
  1960          64                98.03          106.00          204.03
  1960          65               108.03          124.00          232.03
  1960          66               114.03          112.00          226.03
  1960          67               127.04          139.00          266.04
  1960          68               139.04          140.00          279.04
  1960          69               157.05          157.00          314.05
  1960          70               159.04          170.00          329.04
  1960          71               196.05          138.00          334.05
  1960          72               199.06          149.00          348.06
  1960          73               205.06          125.00          330.06
  1960          74               222.06          144.00          366.06
  1960          75               225.07          155.00          380.07
  1960          76               247.07          157.00          404.07
  1960          77               212.06          153.00          365.06
  1960          78               238.07          138.00          376.07
  1960          79               242.07          108.00          350.07
  1960          80               220.06          129.00          349.06
  1960          81               217.06           90.00          307.06
  1960          82               231.07           94.00          325.07
  1960          83               218.06           93.00          311.06
  1960          84               211.06           79.00          290.06
  1960          85               223.07           73.00          296.07
  1960          86               180.05           67.00          247.05
  1960          87               140.04           63.00          203.04
  1960          88               129.03           51.00          180.03
  1960          89                98.03           40.00          138.03
  1960          90                77.03           26.00          103.03
  1960          91                60.02           11.00           71.02
  1960          92                37.01           13.00           50.01
  1960          93                48.01           11.00           59.01
  1960          94                25.01            7.00           32.01
  1960          95                22.00           13.00           35.00
  1960          96                13.01            2.00           15.01
  1960          97                15.00            1.00           16.00
  1960          98                 5.00            1.00            6.00
  1960          99                 7.00            0.00            7.00
  1960         100                 2.27            1.00            3.27
  1960         101                 1.72            0.00            1.72
  1960         102                 1.01            0.00            1.01
  1960         103                 0.00            0.00            0.00
  1960         104                 0.00            0.00            0.00
  1960         105                 0.00            0.00            0.00
  1960         106                 0.00            0.00            0.00
  1960         107                 0.00            0.00            0.00
  1960         108                 0.00            0.00            0.00
  1960         109                 0.00            0.00            0.00
  1960         110+                0.00            0.00            0.00
