  year          age           Ex_female         Ex_male        Ex_total
  2019           0           1750711.76      1826354.36      3577066.12
  2019           1           1799095.63      1876032.77      3675128.40
  2019           2           1854535.43      1935023.50      3789558.94
  2019           3           1907728.41      1991355.43      3899083.85
  2019           4           1945365.64      2032901.95      3978267.59
  2019           5           1951420.41      2039269.90      3990690.31
  2019           6           1958186.78      2045667.46      4003854.25
  2019           7           1968191.28      2057427.37      4025618.64
  2019           8           1984259.68      2077608.92      4061868.60
  2019           9           1989185.37      2080464.55      4069649.92
  2019          10           2059863.38      2157862.38      4217725.76
  2019          11           2132783.05      2235851.00      4368634.05
  2019          12           2149663.40      2252308.37      4401971.77
  2019          13           2117166.75      2220122.62      4337289.37
  2019          14           2104059.07      2202758.37      4306817.44
  2019          15           2097227.29      2199184.31      4296411.60
  2019          16           2094317.52      2198469.40      4292786.92
  2019          17           2093425.86      2197335.32      4290761.19
  2019          18           2186337.34      2269169.58      4455506.92
  2019          19           2264178.77      2336616.18      4600794.95
  2019          20           2208196.86      2282834.29      4491031.15
  2019          21           2181283.53      2259977.93      4441261.47
  2019          22           2137456.58      2217094.22      4354550.80
  2019          23           2114295.91      2202340.67      4316636.57
  2019          24           2150356.45      2232354.60      4382711.05
  2019          25           2173443.68      2246854.95      4420298.64
  2019          26           2209266.23      2274504.79      4483771.01
  2019          27           2272959.27      2310126.49      4583085.76
  2019          28           2296434.07      2321055.88      4617489.95
  2019          29           2297645.93      2319425.87      4617071.80
  2019          30           2257660.68      2273922.04      4531582.72
  2019          31           2223197.15      2234421.30      4457618.44
  2019          32           2209851.67      2216696.23      4426547.90
  2019          33           2229859.76      2235225.91      4465085.67
  2019          34           2233584.51      2231128.05      4464712.55
  2019          35           2170779.66      2166115.07      4336894.73
  2019          36           2210800.72      2202336.68      4413137.40
  2019          37           2206608.48      2188235.54      4394844.02
  2019          38           2196747.19      2179186.45      4375933.64
  2019          39           2179612.32      2171934.29      4351546.61
  2019          40           2074506.99      2037821.33      4112328.32
  2019          41           2055440.10      2025425.48      4080865.58
  2019          42           2024713.97      1984329.72      4009043.69
  2019          43           1981260.94      1948253.44      3929514.38
  2019          44           1995919.49      1961709.20      3957628.69
  2019          45           1935561.32      1885969.71      3821531.03
  2019          46           1999606.77      1955485.29      3955092.06
  2019          47           2064681.00      2017353.49      4082034.49
  2019          48           2191186.18      2142457.64      4333643.82
  2019          49           2178197.48      2148067.39      4326264.87
  2019          50           2080277.73      2029543.04      4109820.78
  2019          51           2064958.21      2014507.67      4079465.88
  2019          52           2070993.38      2008959.82      4079953.19
  2019          53           2121191.33      2058506.69      4179698.01
  2019          54           2221879.94      2144300.14      4366180.07
  2019          55           2241922.33      2140703.83      4382626.16
  2019          56           2273435.16      2174931.35      4448366.51
  2019          57           2277541.47      2168290.77      4445832.24
  2019          58           2314762.22      2198344.04      4513106.26
  2019          59           2278503.26      2163231.37      4441734.63
  2019          60           2216307.02      2074082.68      4290389.70
  2019          61           2230607.06      2084948.51      4315555.57
  2019          62           2196110.60      2035949.87      4232060.47
  2019          63           2139763.79      1973118.90      4112882.68
  2019          64           2088881.59      1913149.07      4002030.67
  2019          65           2005771.25      1818956.51      3824727.76
  2019          66           1942970.86      1754735.95      3697706.81
  2019          67           1867604.21      1674892.36      3542496.57
  2019          68           1821609.26      1623097.73      3444706.99
  2019          69           1748982.61      1551140.74      3300123.36
  2019          70           1684145.88      1478952.82      3163098.69
  2019          71           1668141.93      1460627.11      3128769.05
  2019          72           1678912.98      1462901.29      3141814.28
  2019          73           1306085.73      1130849.99      2436935.72
  2019          74           1242653.61      1054959.96      2297613.57
  2019          75           1182128.96       989741.22      2171870.18
  2019          76           1196200.90       991672.38      2187873.28
  2019          77           1047994.75       853680.23      1901674.98
  2019          78            956610.32       765108.54      1721718.86
  2019          79            883640.21       697059.70      1580699.91
  2019          80            817179.35       630518.70      1447698.05
  2019          81            773628.11       584366.61      1357994.72
  2019          82            705217.15       520306.87      1225524.02
  2019          83            657569.45       472324.12      1129893.57
  2019          84            603911.51       429901.03      1033812.53
  2019          85            535798.20       375053.63       910851.82
  2019          86            496900.23       333199.08       830099.31
  2019          87            455317.64       292356.10       747673.73
  2019          88            415571.05       253740.38       669311.44
  2019          89            370543.70       214238.54       584782.24
  2019          90            323012.65       175989.36       499002.01
  2019          91            282281.55       144235.14       426516.69
  2019          92            239075.43       113998.05       353073.47
  2019          93            196690.25        87056.69       283746.93
  2019          94            160047.95        65856.68       225904.63
  2019          95            125635.47        48225.66       173861.13
  2019          96             94666.27        33747.17       128413.44
  2019          97             70984.95        23266.51        94251.45
  2019          98             51146.34        15172.42        66318.76
  2019          99             33745.89         9084.89        42830.78
  2019         100             21971.84         5395.21        27367.05
  2019         101             14308.44         3108.01        17416.45
  2019         102              8857.34         1673.90        10531.25
  2019         103              5322.25          896.38         6218.63
  2019         104              3116.13          495.39         3611.52
  2019         105              1784.72          265.75         2050.47
  2019         106               989.00          134.13         1123.13
  2019         107               527.11           67.96          595.07
  2019         108               270.65           31.60          302.25
  2019         109               129.87           13.65          143.52
  2019         110+              122.73           23.04          145.77
