  year          age           Ex_female         Ex_male        Ex_total
  1960           0              9551.26        10131.60        19682.86
  1960           1              9529.86        10102.09        19631.95
  1960           2              9129.82         9669.00        18798.82
  1960           3              9153.36         9600.25        18753.61
  1960           4              9497.79         9849.45        19347.24
  1960           5              9673.39        10054.88        19728.27
  1960           6              9357.79         9812.82        19170.61
  1960           7              9277.90         9718.21        18996.11
  1960           8              9323.02         9818.07        19141.09
  1960           9              9083.53         9731.78        18815.31
  1960          10              9153.25         9780.07        18933.32
  1960          11              9354.44         9938.36        19292.79
  1960          12              9045.75         9542.76        18588.51
  1960          13              8708.41         9106.08        17814.49
  1960          14              7919.08         8198.98        16118.06
  1960          15              7141.75         7297.41        14439.16
  1960          16              7040.41         7210.61        14251.02
  1960          17              7624.96         7827.85        15452.81
  1960          18              9097.88         9206.42        18304.30
  1960          19              9518.43         9580.62        19099.05
  1960          20              9374.45         9391.80        18766.25
  1960          21              9974.08        10144.77        20118.85
  1960          22             10286.53        10751.85        21038.38
  1960          23             10407.81        10395.59        20803.41
  1960          24              9983.65         9730.85        19714.50
  1960          25              9433.56         9304.74        18738.30
  1960          26              9592.39         9145.17        18737.56
  1960          27             10364.95         9584.20        19949.15
  1960          28             10876.18         9989.33        20865.51
  1960          29             11167.05        10366.33        21533.38
  1960          30             11146.41        10283.29        21429.70
  1960          31             11561.69        10047.26        21608.95
  1960          32             11449.05         9754.62        21203.67
  1960          33             11153.34         9017.64        20170.98
  1960          34             11201.54         7949.93        19151.48
  1960          35             10842.21         7140.48        17982.69
  1960          36             10895.68         6958.94        17854.62
  1960          37             10605.03         6643.26        17248.29
  1960          38              9710.17         6124.65        15834.81
  1960          39              8713.51         5801.77        14515.28
  1960          40              7562.71         5289.69        12852.40
  1960          41              7355.02         5252.68        12607.70
  1960          42              6628.86         4744.46        11373.32
  1960          43              6144.11         4328.43        10472.54
  1960          44              7180.24         5089.38        12269.62
  1960          45              8250.78         5806.68        14057.46
  1960          46              8991.79         6225.49        15217.28
  1960          47              9169.82         6372.35        15542.17
  1960          48              9117.75         6365.51        15483.26
  1960          49              9372.12         6409.00        15781.12
  1960          50              9312.70         6316.14        15628.84
  1960          51              9002.74         6039.75        15042.49
  1960          52              8792.54         5876.74        14669.28
  1960          53              8810.82         6071.62        14882.45
  1960          54              8737.10         5938.98        14676.08
  1960          55              8542.97         5665.50        14208.47
  1960          56              8671.05         5708.92        14379.97
  1960          57              8566.04         5634.23        14200.28
  1960          58              8171.07         5259.86        13430.93
  1960          59              8498.57         4996.62        13495.18
  1960          60              8342.86         4782.92        13125.78
  1960          61              7749.33         4477.40        12226.73
  1960          62              7301.81         4101.04        11402.86
  1960          63              6998.37         3813.58        10811.95
  1960          64              7122.07         3641.98        10764.06
  1960          65              6724.13         3329.98        10054.11
  1960          66              6459.49         3140.13         9599.62
  1960          67              6391.50         3083.85         9475.36
  1960          68              6104.51         2994.06         9098.57
  1960          69              5890.85         2923.92         8814.77
  1960          70              5636.90         2732.57         8369.48
  1960          71              5545.48         2535.27         8080.74
  1960          72              5020.87         2279.69         7300.56
  1960          73              4629.28         2081.92         6711.20
  1960          74              4632.91         1975.79         6608.70
  1960          75              4275.89         1774.98         6050.87
  1960          76              3897.14         1616.38         5513.53
  1960          77              3519.57         1440.16         4959.72
  1960          78              3044.77         1200.59         4245.36
  1960          79              2790.55         1063.41         3853.96
  1960          80              2512.96          930.33         3443.29
  1960          81              2216.14          798.44         3014.57
  1960          82              1920.81          687.16         2607.97
  1960          83              1622.22          571.90         2194.12
  1960          84              1365.93          475.25         1841.18
  1960          85              1175.62          400.04         1575.65
  1960          86               969.69          321.84         1291.53
  1960          87               752.47          239.58          992.06
  1960          88               579.30          169.61          748.91
  1960          89               442.47          121.68          564.15
  1960          90               304.63           85.12          389.75
  1960          91               202.50           58.64          261.14
  1960          92               157.35           45.09          202.44
  1960          93               118.50           32.36          150.86
  1960          94                80.74           22.18          102.92
  1960          95                58.83           13.36           72.19
  1960          96                44.45            5.56           50.01
  1960          97                28.72            4.68           33.40
  1960          98                14.98            4.14           19.12
  1960          99                 7.27            1.97            9.24
  1960         100                 2.95            1.40            4.34
  1960         101                 1.67            0.74            2.40
  1960         102                 0.48            0.00            0.48
  1960         103                 0.00            0.00            0.00
  1960         104                 0.00            0.00            0.00
  1960         105                 0.00            0.00            0.00
  1960         106                 0.00            0.00            0.00
  1960         107                 0.00            0.00            0.00
  1960         108                 0.00            0.00            0.00
  1960         109                 0.00            0.00            0.00
  1960         110+                0.00            0.00            0.00
