  year        age         mx       qx      ax      lx      dx      Lx       Tx     ex
  2019           0      0.00585  0.00582  0.14  100000     582   99498  7900290  79.00
  2019         1-4      0.00024  0.00097  1.57   99418      96  397438  7800793  78.46
  2019         5-9      0.00012  0.00058  2.38   99322      58  496457  7403355  74.54
  2019        10-14     0.00015  0.00073  2.78   99264      73  496160  6906897  69.58
  2019        15-19     0.00046  0.00232  2.95   99192     230  495487  6410737  64.63
  2019        20-24     0.00089  0.00443  2.64   98962     439  493772  5915250  59.77
  2019        25-29     0.00119  0.00591  2.59   98523     582  491213  5421478  55.03
  2019        30-34     0.00144  0.00718  2.56   97941     703  487986  4930266  50.34
  2019        35-39     0.00177  0.00880  2.59   97237     855  484129  4442280  45.68
  2019        40-44     0.00221  0.01099  2.57   96382    1059  479336  3958151  41.07
  2019        45-49     0.00309  0.01534  2.64   95323    1462  473168  3478815  36.50
  2019        50-54     0.00463  0.02289  2.66   93861    2149  464268  3005646  32.02
  2019        55-59     0.00712  0.03499  2.64   91713    3209  450979  2541379  27.71
  2019        60-64     0.01034  0.05047  2.61   88503    4467  431846  2090399  23.62
  2019        65-69     0.01433  0.06925  2.60   84036    5820  406208  1658554  19.74
  2019        70-74     0.02150  0.10227  2.63   78217    7999  372100  1252346  16.01
  2019        75-79     0.03479  0.16060  2.61   70217   11277  324172   880246  12.54
  2019        80-84     0.05822  0.25539  2.60   58940   15053  258556   556074   9.43
  2019        85-89     0.10142  0.40570  2.54   43888   17805  175566   297518   6.78
  2019        90-94     0.17810  0.60568  2.36   26082   15797   88700   121952   4.68
  2019        95-99     0.28588  0.78098  2.10   10285    8032   28097    33252   3.23
  2019       100-104    0.42503  0.89958  1.79    2253    2026    4768     5155   2.29
  2019       105-109    0.57930  0.95788  1.51     226     217     374      388   1.71
  2019       110+       0.70304  1.00000  1.42      10      10      14       14   1.42
