  year          age         mx       qx     ax     lx       dx      Lx       Tx     ex
  2019           0      0.00585  0.00582  0.14  100000     582   99498  7900290  79.00
  2019           1      0.00040  0.00040  0.50   99418      40   99398  7800793  78.46
  2019           2      0.00024  0.00024  0.50   99378      24   99366  7701395  77.50
  2019           3      0.00018  0.00018  0.50   99354      18   99345  7602028  76.51
  2019           4      0.00014  0.00014  0.50   99336      14   99329  7502683  75.53
  2019           5      0.00013  0.00013  0.50   99322      13   99315  7403355  74.54
  2019           6      0.00012  0.00012  0.50   99308      12   99302  7304040  73.55
  2019           7      0.00011  0.00011  0.50   99296      11   99291  7204737  72.56
  2019           8      0.00011  0.00011  0.50   99285      11   99280  7105447  71.57
  2019           9      0.00011  0.00011  0.50   99275      11   99269  7006167  70.57
  2019          10      0.00011  0.00011  0.50   99264      11   99258  6906897  69.58
  2019          11      0.00012  0.00012  0.50   99253      12   99247  6807639  68.59
  2019          12      0.00014  0.00014  0.50   99241      14   99234  6708392  67.60
  2019          13      0.00016  0.00016  0.50   99227      16   99219  6609158  66.61
  2019          14      0.00020  0.00020  0.50   99211      20   99201  6509939  65.62
  2019          15      0.00026  0.00026  0.50   99192      26   99178  6410737  64.63
  2019          16      0.00035  0.00035  0.50   99165      34   99148  6311559  63.65
  2019          17      0.00044  0.00044  0.50   99131      44   99109  6212411  62.67
  2019          18      0.00061  0.00061  0.50   99087      61   99057  6113301  61.70
  2019          19      0.00066  0.00066  0.50   99027      65   98994  6014244  60.73
  2019          20      0.00074  0.00074  0.50   98962      73   98925  5915250  59.77
  2019          21      0.00086  0.00086  0.50   98889      85   98846  5816325  58.82
  2019          22      0.00089  0.00089  0.50   98804      88   98760  5717478  57.87
  2019          23      0.00096  0.00096  0.50   98716      95   98668  5618719  56.92
  2019          24      0.00099  0.00099  0.50   98621      98   98572  5520050  55.97
  2019          25      0.00108  0.00107  0.50   98523     106   98470  5421478  55.03
  2019          26      0.00113  0.00113  0.50   98417     112   98361  5323008  54.09
  2019          27      0.00117  0.00117  0.50   98306     115   98248  5224647  53.15
  2019          28      0.00125  0.00125  0.50   98190     122   98129  5126399  52.21
  2019          29      0.00130  0.00130  0.50   98068     127   98004  5028270  51.27
  2019          30      0.00136  0.00136  0.50   97941     134   97874  4930266  50.34
  2019          31      0.00140  0.00139  0.50   97807     136   97739  4832392  49.41
  2019          32      0.00141  0.00141  0.50   97671     138   97602  4734653  48.48
  2019          33      0.00150  0.00150  0.50   97533     146   97460  4637052  47.54
  2019          34      0.00153  0.00153  0.50   97387     149   97312  4539592  46.61
  2019          35      0.00161  0.00161  0.50   97237     157   97159  4442280  45.68
  2019          36      0.00166  0.00166  0.50   97080     161   97000  4345121  44.76
  2019          37      0.00175  0.00175  0.50   96919     170   96835  4248121  43.83
  2019          38      0.00187  0.00187  0.50   96750     181   96660  4151286  42.91
  2019          39      0.00194  0.00194  0.50   96569     187   96476  4054627  41.99
  2019          40      0.00210  0.00210  0.50   96382     202   96281  3958151  41.07
  2019          41      0.00207  0.00207  0.50   96180     199   96080  3861870  40.15
  2019          42      0.00219  0.00219  0.50   95981     210   95876  3765790  39.23
  2019          43      0.00227  0.00227  0.50   95770     217   95662  3669914  38.32
  2019          44      0.00241  0.00241  0.50   95553     230   95438  3574253  37.41
  2019          45      0.00266  0.00266  0.50   95323     253   95196  3478815  36.50
  2019          46      0.00283  0.00283  0.50   95070     269   94935  3383618  35.59
  2019          47      0.00308  0.00308  0.50   94801     292   94655  3288683  34.69
  2019          48      0.00332  0.00331  0.50   94509     313   94353  3194028  33.80
  2019          49      0.00356  0.00355  0.50   94196     335   94029  3099675  32.91
  2019          50      0.00393  0.00392  0.50   93861     368   93677  3005646  32.02
  2019          51      0.00422  0.00421  0.50   93493     393   93296  2911969  31.15
  2019          52      0.00460  0.00459  0.50   93099     427   92886  2818673  30.28
  2019          53      0.00493  0.00492  0.50   92672     456   92444  2725787  29.41
  2019          54      0.00548  0.00546  0.50   92216     504   91964  2633343  28.56
  2019          55      0.00612  0.00610  0.50   91713     559   91433  2541379  27.71
  2019          56      0.00651  0.00649  0.50   91153     592   90858  2449946  26.88
  2019          57      0.00712  0.00710  0.50   90562     643   90240  2359088  26.05
  2019          58      0.00761  0.00758  0.50   89919     682   89578  2268848  25.23
  2019          59      0.00826  0.00822  0.50   89237     734   88870  2179270  24.42
  2019          60      0.00902  0.00898  0.50   88503     795   88106  2090399  23.62
  2019          61      0.00962  0.00958  0.50   87709     840   87289  2002293  22.83
  2019          62      0.01039  0.01034  0.50   86869     898   86420  1915005  22.04
  2019          63      0.01103  0.01097  0.50   85971     943   85499  1828585  21.27
  2019          64      0.01173  0.01166  0.50   85028     991   84532  1743086  20.50
