  year          age         mx       qx    ax      lx      dx      Lx       Tx     ex
2000-2009        0      0.00698  0.00694  0.13  100000     694   99400  7757764  77.58
2000-2009        1      0.00048  0.00048  0.50   99306      48   99282  7658364  77.12
2000-2009        2      0.00031  0.00031  0.50   99258      31   99243  7559082  76.16
2000-2009        3      0.00023  0.00023  0.50   99227      23   99216  7459839  75.18
2000-2009        4      0.00019  0.00019  0.50   99204      19   99195  7360623  74.20
2000-2009        5      0.00016  0.00016  0.50   99186      16   99178  7261428  73.21
2000-2009        6      0.00015  0.00015  0.50   99170      15   99162  7162251  72.22
2000-2009        7      0.00014  0.00014  0.50   99155      14   99148  7063088  71.23
2000-2009        8      0.00014  0.00014  0.50   99141      13   99135  6963940  70.24
2000-2009        9      0.00013  0.00013  0.50   99128      13   99121  6864806  69.25
2000-2009       10      0.00014  0.00014  0.50   99115      14   99108  6765684  68.26
2000-2009       11      0.00015  0.00015  0.50   99101      14   99094  6666577  67.27
2000-2009       12      0.00016  0.00016  0.50   99087      16   99079  6567483  66.28
2000-2009       13      0.00019  0.00019  0.50   99071      19   99061  6468404  65.29
2000-2009       14      0.00025  0.00025  0.50   99051      25   99039  6369343  64.30
2000-2009       15      0.00033  0.00033  0.50   99027      33   99010  6270304  63.32
2000-2009       16      0.00049  0.00049  0.50   98994      49   98970  6171293  62.34
2000-2009       17      0.00062  0.00062  0.50   98945      61   98915  6072324  61.37
2000-2009       18      0.00080  0.00080  0.50   98884      79   98844  5973409  60.41
2000-2009       19      0.00088  0.00088  0.50   98805      87   98762  5874565  59.46
2000-2009       20      0.00090  0.00090  0.50   98719      89   98674  5775803  58.51
2000-2009       21      0.00097  0.00097  0.50   98630      96   98582  5677129  57.56
2000-2009       22      0.00096  0.00096  0.50   98534      95   98486  5578547  56.62
2000-2009       23      0.00096  0.00096  0.50   98439      95   98392  5480061  55.67
2000-2009       24      0.00097  0.00097  0.50   98344      95   98297  5381669  54.72
2000-2009       25      0.00095  0.00095  0.50   98249      94   98202  5283372  53.78
2000-2009       26      0.00097  0.00097  0.50   98156      96   98108  5185170  52.83
2000-2009       27      0.00098  0.00098  0.50   98060      96   98012  5087062  51.88
2000-2009       28      0.00099  0.00099  0.50   97964      97   97916  4989050  50.93
2000-2009       29      0.00103  0.00103  0.50   97868     101   97817  4891134  49.98
2000-2009       30      0.00102  0.00102  0.50   97767     100   97717  4793317  49.03
2000-2009       31      0.00108  0.00108  0.50   97667     105   97614  4695600  48.08
2000-2009       32      0.00111  0.00111  0.50   97562     108   97508  4597985  47.13
2000-2009       33      0.00117  0.00116  0.50   97454     114   97397  4500477  46.18
2000-2009       34      0.00124  0.00124  0.50   97340     120   97280  4403080  45.23
2000-2009       35      0.00132  0.00132  0.50   97220     129   97156  4305800  44.29
2000-2009       36      0.00140  0.00140  0.50   97091     136   97023  4208645  43.35
2000-2009       37      0.00153  0.00153  0.50   96956     148   96882  4111621  42.41
2000-2009       38      0.00165  0.00165  0.50   96808     160   96728  4014740  41.47
2000-2009       39      0.00178  0.00178  0.50   96648     172   96562  3918012  40.54
2000-2009       40      0.00195  0.00194  0.50   96476     188   96382  3821450  39.61
2000-2009       41      0.00211  0.00211  0.50   96288     203   96187  3725068  38.69
2000-2009       42      0.00230  0.00229  0.50   96085     220   95975  3628881  37.77
2000-2009       43      0.00251  0.00251  0.50   95865     240   95745  3532906  36.85
2000-2009       44      0.00274  0.00273  0.50   95624     261   95494  3437161  35.94
2000-2009       45      0.00296  0.00296  0.50   95363     282   95222  3341667  35.04
2000-2009       46      0.00322  0.00321  0.50   95081     305   94928  3246445  34.14
2000-2009       47      0.00348  0.00348  0.50   94776     330   94611  3151517  33.25
2000-2009       48      0.00378  0.00377  0.50   94446     356   94268  3056906  32.37
2000-2009       49      0.00407  0.00407  0.50   94090     383   93899  2962638  31.49
2000-2009       50      0.00442  0.00441  0.50   93707     413   93501  2868739  30.61
2000-2009       51      0.00473  0.00472  0.50   93294     440   93074  2775239  29.75
2000-2009       52      0.00512  0.00511  0.50   92854     474   92617  2682164  28.89
2000-2009       53      0.00546  0.00545  0.50   92380     503   92128  2589547  28.03
2000-2009       54      0.00586  0.00584  0.50   91877     537   91608  2497419  27.18
2000-2009       55      0.00636  0.00634  0.50   91340     579   91050  2405810  26.34
2000-2009       56      0.00680  0.00677  0.50   90761     615   90454  2314760  25.50
2000-2009       57      0.00737  0.00734  0.50   90146     662   89815  2224306  24.67
2000-2009       58      0.00799  0.00796  0.50   89484     712   89129  2134491  23.85
2000-2009       59      0.00868  0.00864  0.50   88773     767   88389  2045363  23.04
2000-2009       60      0.00953  0.00949  0.50   88005     835   87588  1956974  22.24
2000-2009       61      0.01021  0.01016  0.50   87170     886   86727  1869386  21.45
2000-2009       62      0.01123  0.01116  0.50   86285     963   85803  1782658  20.66
2000-2009       63      0.01224  0.01216  0.50   85321    1038   84803  1696855  19.89
2000-2009       64      0.01336  0.01327  0.50   84284    1118   83725  1612053  19.13
2000-2009       65      0.01443  0.01433  0.50   83165    1192   82570  1528328  18.38
2000-2009       66      0.01559  0.01547  0.50   81974    1268   81340  1445759  17.64
2000-2009       67      0.01702  0.01687  0.50   80705    1362   80024  1364419  16.91
2000-2009       68      0.01840  0.01823  0.50   79344    1446   78620  1284395  16.19
2000-2009       69      0.02014  0.01994  0.50   77897    1554   77120  1205774  15.48
2000-2009       70      0.02212  0.02187  0.50   76344    1670   75509  1128654  14.78
2000-2009       71      0.02393  0.02365  0.50   74674    1766   73791  1053145  14.10
2000-2009       72      0.02634  0.02600  0.50   72908    1895   71960   979354  13.43
2000-2009       73      0.02883  0.02842  0.50   71012    2018   70003   907394  12.78
2000-2009       74      0.03148  0.03099  0.50   68994    2138   67925   837391  12.14
2000-2009       75      0.03476  0.03417  0.50   66856    2284   65714   769466  11.51
2000-2009       76      0.03777  0.03707  0.50   64572    2393   63375   703752  10.90
2000-2009       77      0.04154  0.04070  0.50   62178    2530   60913   640376  10.30
2000-2009       78      0.04562  0.04460  0.50   59648    2660   58318   579463   9.71
2000-2009       79      0.05024  0.04901  0.50   56988    2793   55591   521145   9.14
2000-2009       80      0.05795  0.05632  0.50   54195    3052   52669   465554   8.59
2000-2009       81      0.06394  0.06196  0.50   51143    3169   49559   412885   8.07
2000-2009       82      0.07113  0.06868  0.50   47974    3295   46327   363326   7.57
2000-2009       83      0.07874  0.07575  0.50   44679    3385   42987   317000   7.10
2000-2009       84      0.08757  0.08390  0.50   41295    3465   39562   274013   6.64
2000-2009       85      0.09737  0.09285  0.50   37830    3513   36074   234451   6.20
2000-2009       86      0.10877  0.10316  0.50   34317    3540   32547   198377   5.78
2000-2009       87      0.12080  0.11392  0.50   30777    3506   29024   165830   5.39
2000-2009       88      0.13459  0.12610  0.50   27271    3439   25552   136805   5.02
2000-2009       89      0.14996  0.13950  0.50   23832    3325   22170   111254   4.67
2000-2009       90      0.16608  0.15334  0.50   20508    3145   18935    89084   4.34
2000-2009       91      0.18442  0.16885  0.50   17363    2932   15897    70148   4.04
2000-2009       92      0.20480  0.18577  0.50   14431    2681   13091    54251   3.76
2000-2009       93      0.22684  0.20374  0.50   11750    2394   10553    41160   3.50
2000-2009       94      0.24961  0.22191  0.50    9356    2076    8318    30607   3.27
2000-2009       95      0.26968  0.23764  0.50    7280    1730    6415    22289   3.06
2000-2009       96      0.29452  0.25671  0.50    5550    1425    4838    15874   2.86
2000-2009       97      0.32070  0.27639  0.50    4125    1140    3555    11036   2.68
2000-2009       98      0.34815  0.29653  0.50    2985     885    2543     7481   2.51
2000-2009       99      0.37672  0.31701  0.50    2100     666    1767     4938   2.35
2000-2009      100      0.40626  0.33767  0.50    1434     484    1192     3171   2.21
2000-2009      101      0.43659  0.35836  0.50     950     340     780     1979   2.08
2000-2009      102      0.46749  0.37892  0.50     610     231     494     1200   1.97
2000-2009      103      0.49873  0.39919  0.50     379     151     303      706   1.86
2000-2009      104      0.53006  0.41901  0.50     227      95     180      403   1.77
2000-2009      105      0.56124  0.43826  0.50     132      58     103      223   1.69
2000-2009      106      0.59203  0.45681  0.50      74      34      57      120   1.61
2000-2009      107      0.62217  0.47455  0.50      40      19      31       62   1.54
2000-2009      108      0.65146  0.49140  0.50      21      10      16       32   1.49
2000-2009      109      0.67971  0.50730  0.50      11       5       8       16   1.44
2000-2009      110+     0.70674  1.00000  1.41       5       5       8        8   1.41
